,Organization (as author),Place created,Identifier,Author,Title,Year,Abstract,Keywords,XML file
10,Stanford University,Hopkins Marine Station,ns063ty7030,"Kosin, Dorothea F.",The loss of heat resistance and the recover from heat torpor in Tigriopus californicus,1963.0,1. The loss of heat resistance in Tigriopus californicus occurs rapidly within the first 3 hours after removal from a high temperature condition. 2. In light of studies by Kontogiannis (1973) the acquisition and loss of heat resistance appears symmetrical in relation to time course. 3. The mechanisms involved in torpor and thermal death are different.,high tide pools,hms_ns063ty7030.tei.xml
11,Stanford University,Hopkins Marine Station,dp781zq1319,"La Roe, Edward T.",Distribution limitations of the marine gastropod Tegula funebralis,1963.0,"Tegula funebralis displays a characteristic ""rise behavior,"" probably in response to gravity. The functional value of this is uncertain, but may be correlated with exposure to air; although such exposure is not necessary, it seems to be ""preferred."" T. funebralis is perhaps in the process of evolving into a land snail. The animals inhabit zones (MLLW) high enough to be exposed to the air at least once per day; the universality of the tides would explain the remarkable constancy of the lower limit.","black turban snail, Tegula",hms_dp781zq1319.tei.xml
12,Stanford University,Hopkins Marine Station,xt976yk7645,"Leonard, Yolanda I.",Excretory products of Tegula funebralis and Tegula brunnea,1963.0,"1) Test were performed on the snails, Tegula funebralis and T. brunnea, to determine the nature and quantity of their excretory products and the organs of excretion. 2) Standard colorimetric assays were used on homogenates prepared from the ctenidium, digestive gland, right and left kidneys. Total non-protein nitrogen, ammonia, urea, and uric acid were determined. 3) Uric acid was observed to be the major excretory product of these snails. It accounted for 11.8% to 76.6% of the total non-protein nitrogen in the right kidneys, the only organ where this waste product was detectable. Only slight traces of ammonia were found in the digestive gland, and no urea was present in the tissues tested.","black turban snail, Tegula",hms_xt976yk7645.tei.xml
13,Stanford University,Hopkins Marine Station,zh533tf3165,"Macdonald, John A.; Maino, Burke C.","Observations on the epipodium, digestive tract, coelomic derivatives, and nervous system of the trochid gastropod, Tegula funebralis (A. Adams 1854)",1963.0,"In spite of the abundance of Tegula funebralis (A. Adams 1854) in the California intertidal, no account of its anatomy has yet appeared in the literature, although the anatomy of other trochids has been described (Randles, 1905; Fretter and Graham, 1962). To partially fill this void, a brief account of certain external and internal features of T. funebralis is herein presented.","black turban snail, Tegula",hms_zh533tf3165.tei.xml
14,Stanford University,Hopkins Marine Station,bw012rf1456,"McGee, Patricia",Six unknown green pigments from mollusks,1963.0,"Unknown green pigments from Tegula funebralis and the similar green pigments from Tegula brunnea, Tegula montereyi, Tegula pulligo, the red and black abalone (Haliotis) were studied. The configurations of all the spectra of these various pigments are similar: however, the absorption peaks vary within a range of 40 mu in the visible and 2 to 10 mu for the UV peaks. It would seem that perhaps the compounds are members of the same family. This assumption is further supported by identical solubilities and behavior toward hydrogen ion concentration.","black turban snail, Tegula",hms_bw012rf1456.tei.xml
15,Stanford University,Hopkins Marine Station,nz242yy3659,"Nolfi, James Robert II","The influence of substrate characteristics on haul out behavior of harbor seals, Phoca vitulina",1963.0,"Factors influencing the distribution pattern of different ages of hauled out harbor seals were studied for a 5-week period in Spring 1991. Particular emphasis was placed on the impact of substrate characteristics on the observed age distribution. The seals in this area utilize irregularly- shaped offshore rocks for haul out. Aggressive behavior was almost completely absent in this area and seals were never observed battling over haul out space. Substrate features which were examined included: distance to an escape channel: % total and individual algal cover; size of hauling ground; and degree of incline to reach the hauling ground. These features at least partly resulted in the observed segregation of ages as adults were limited by the size of the hauling ground, while subadults and juveniles were limited by the % algal cover and degree of incline. Social organization may be an additional influence on the age-structured distributions, but the short term of this study prevented any extensive investigation into the social structure of this population.",,hms_nz242yy3659.tei.xml
16,Stanford University,Hopkins Marine Station,ns428hx6548,"Overholser, J. Alan",Orientation and response of Tegula funebralis to tidal current and turbulence,1963.0,"Tegula funebralis is activated when subjected to current and/or air turbulence; this behavior agrees with Cloudsley-Thompson's remark (1961, p. 45) that many seashore animals are activated by waves. Further, current causes Tegula to orient into the flow, and also keeps them down near the bottom; if the current is sufficiently strong, however, they will often turn and head for shelter at the first respite. Preliminary tests in a vertical tube (250 cm/min flow) indicate that snails tend to go down regardless of current direction: evidently current stimulation, and not direction, causes Tegula to go down. It was shown that Tegula changed their orientation to current after a few hours: this may be a set pattern of response, or perhaps the snails became fatigued. Gradation of current needs to be tried in all these cases. Finally, there is a definite response to air jets: the snails would clump in regions of greatest turbulence. This turbulence seemed to enhance the effect of light (the snails going down in light, up in dark). It is possible, however, that these results were due to the entering air rather than to the turbulence: further tests are definitely necessary.","black turban snail, Tegula",hms_ns428hx6548.tei.xml
17,Stanford University,Hopkins Marine Station,rb153sk5690,"Peppard, Margaret C.",Growth and shell repair in the gastropod Tegula funebralis,1963.0,"1. Shell is erosion is caused by the activities of several animals (bryozoans and polychaetes), by mechanical wear, and by a fungus, which was cultured on agar plates. 2. Normal shell growth, recorded over a period of 15 days in 28 animals, was intermittent, but averaged 6 microns per day added to the outer lip of the aperture. 3. Repairs to shells damaged mechanically, by filling the aperture, grinding holes in the body and upper whorls, and by cracking in a vise are described.","black turban snail, Tegula",hms_rb153sk5690.tei.xml
18,Stanford University,Hopkins Marine Station,vp112bk1362,"Putnam, Deborah A.","The distribution and abundance of marine intertidal fauna around a primary sewage effluent in Carmel Bay, California",1963.0,"This research project examined to effects of primary treated effluent on the distribution and abundance of marine intertidal fauna in a portion of Carmel Bay, California. During the time of the current studies the effluent was moving south from the outfall and appeared to remain in the Monastery Beach area due to circular currents. The sewage was not moving straight out to sea. Damage in the outfall area can be seen in the form of distribution patterns and are reflected in the diversity indices for specific types of areas. The distribution patterns suggest that Mytilus californianus (California mussel), Mitella polymerus (Gooseneck barnacle), Balanus glandula, Chthamalus spp., Tetraclita squamosa rubsecens, Acmaea spp., Pisaster ochraceus, Pagurus spp., and Haliotis cracherodii may be good intertidal indicators of sewage pollution. Toxicity tests on Acmaea degitalis and A. scutum suggest that at low concentrations of sewage, Cl2 may be responsible for much of the lethality of the sewage. However, Cl2 does not account for the entire toxicity of any concentration of sewage. The research outlined in this paper suggests further investigations are necessary to confirm present information about current and effluent movement in Carmel Bay, the toxicity of sewage due to Cl2, the toxicity of other sewage components, distribution and diversity patterns as measureable parameters of sewage pollution, and the development of other types of indicators of sewage pollution.",sewage pollution,hms_vp112bk1362.tei.xml
19,Stanford University,Hopkins Marine Station,qf458jv9134,"Snyder, Janna M.",Diurnal and tidal rhythms in the oxygen consumption of the gastropod Tegula funebralis,1963.0,"The animals tested were allowed to respire in sealed flasks and water samples were withdrawn every two hours and examined for oxygen content by the Winkler method. Snails from China Point (Monterey Peninsula, California) have a lowered oxygen consumption at sunset and high high tide, and an increased oxygen consumption at sunrise and low low tide. The snails may build up an oxygen debt during high high tide, which is repaid during exposure to air at low low tide. Lactic acid content of snails at high high tide was about twice as great as that of snails at low low tide.","black turban snail, Tegula",hms_qf458jv9134.tei.xml
20,Stanford University,Hopkins Marine Station,vm982sz1370,"Wara, William; Wickizer, Diane",Growth studies of Tegula funebralis and Acmea asmi,1963.0,"An attempt was made to determine the growth rates of A. asmi and of T. funebralis. Caged populations were maintained in a natural environment for nine months and all animals were individually marked and measured, using a series of techniques, every two weeks. No growth was noted.","black turban snail, Tegula",hms_vm982sz1370.tei.xml
21,Stanford University,Hopkins Marine Station,qp387qh4760,"Wara, William M.; Wright, Benjamin B.",The distribution and shell utilization of the female hermit crab Pagurus granosimanus and P. samuelis,1963.0,"Two intertidal hermit crabs, Pagurus granosimanus and P. samuelis, were studied at the Hopkins Marine Station. The two species demonstrate definite zonation along the intertidal, but intraspecies differences are not known. Past studies have shown that shell characteristics such as damage, fouling, and adequacy have varying influences on the reproductive success of females. Ovigerous females, non-ovigerous females, and males were examined at three different locations. The study of the distribution and the shell utilization of each of the hermit crabs revealed that males were more predominant than females. Non-ovigerous females were more common than males. Shell fouling had no effect on the shell utilization by ovigerous, non-ovigerous and male hermit crabs. Ovigerous females were in shells with less damage. Shell adequacy assignments showed that females were more likely to be ovigerous if they occupied smaller shells than the preferred size calculated from a shell adequacy index. Clutch size was minimally correlated to other measurements.",,hms_qp387qh4760.tei.xml
22,Stanford University,Hopkins Marine Station,sm457jf7850,"Wickizer, Diane E.","Notes on development of the limpet Acmaea asmi, a commensal on Tegula funebralis (Mollusca; Gastropoda)",1963.0,"1. Eggs and sperm are shed into the water, and spawning seems to be stimulated by exposure to light following darkness. 2. The larvae develop rapidly; torsion begins between 30 and 35 hours and is completed by 55-60 hours. 3. A. asmi larvae appear to be attracted to T. funebralis at 6-7 days and probably settle about this time.","black turban snail, Tegula",hms_sm457jf7850.tei.xml
23,Stanford University,Hopkins Marine Station,gg654sv7833,"Yarnall, John L.",The role of serotonin in early development of the sea urchin Strongylocentrotus purpuratus,1964.0,"Six serotonin antagonists, cinanserin, methiothepin, spiperone, metergoline, ketanserin, and methysergide were all found to delay the first two divisions of sea urchin embryos. Three serotonergic agonists, DOI, RU24969, and phenyl biguanide were also found to delay cleavage, although more weakly than the antagonists. Cleavage delays caused by 10 uM metergoline and 10 uM ketanserin were reversed by serotonin. Serotonin alone was found to speed up cell division over controls. Cytological studies showed the serotonin antagonists metergoline, ketanserin and methysergide delayed karyokinesis as well as cytokinesis.",,hms_gg654sv7833.tei.xml
24,Stanford University,Hopkins Marine Station,kw682ny3339,"Bigler, Eric",Attrition on the Littorina planaxis population,1964.0,"It is assumed that all Littorina planaxis eventually die; and that there is a steady turnover of individuals in the population. The most obvious possible causes of accidental death are being torn from the rocks and tumbled into the sea, and being eaten by possible predators as gulls, plovers, crabs, starfish and squirrels, though these animals were never seen ransacking the L. planaxis colonies. Since the actual causes of death in the L. planaxis are not obvious, it was necessary to devise field studies and laboratory experiments, which would bring out as many of these subtle fatal conditions as possible. The following paper deals first with the structure of the population as a whole; the second and third sections deal with the two large causes of attrition: wave shock and predation.","periwinkle, littorina",hms_kw682ny3339.tei.xml
25,Stanford University,Hopkins Marine Station,wn855tz2421,"Bush, Patricia S.",Effects of desiccation on Littorina planaxis,1964.0,"1. Littorina planaxis show a correlation between size and rate of water loss, the large animals losing more slowly than the small ones. 2. Decreasing surface/volume ration with increasing size probably explains this finding. 3. Clustered snails desiccate at a slower rate than single individuals attached by mucus, which in turn desiccate more slowly than those with no mucus attachment, in a desiccator, in the laboratory and under natural conditions. 4. The tolerance for desiccation was found to be quite high. Snails desiccated in a natural environment lost approximately 70% of their total water and survived.","periwinkle, littorina",hms_wn855tz2421.tei.xml
26,Stanford University,Hopkins Marine Station,mf880gs4777,"Cox, Ann Louise",An analysis of nitrogen waste products in Littorina planaxis,1964.0,"1. These was found the be variation in the total non-protein nitrogen (NPN) as well as constituent products in the kidney of Littorina planaxis. 2. Snails from low in the intertidal contained more NPN, ammonia, and urea than those in the high regions. 3. Snails in the low area contained very little NPN and ammonia at LLW. 4. Urea was found in smaller quantities than ammonia in snails from both regions; in both areas, however, the average amount of ureas increased form the first tidal cycle observation to the second, carried out two and one-half weeks later. 5. There was less undetermined-N in the kidneys of low area snails than high. These averages decreased over a period of two and one-half weeks. 6. Uric adic-N was negligible until the second tidal cycle observations, where it then constituted up to 20.7% NPN in the kidneys of higher snails and 3.13% NPN in those lower. This production was very spasmodic with rapid elimination.","periwinkle, littorina",hms_mf880gs4777.tei.xml
27,Stanford University,Hopkins Marine Station,rv691xc8838,"Dahl, Arthur Lyon",Macroscopic algal foods of Littorina planaxis and L. scutulata,1964.0,"In summary, Littorina planaxis generally eats only microscopic foods and those macroscopic algae small enough to be consumed entire or nearly so. The reasons for this are not clear, but may be related to the structure of the mouth, or the preference for certain types of substrates. Littorina scutulata is frequently found eating macroscopic algae, especially Cladophora, Pelvetia, and other more easily ingested forms. The effects of this feeding are probably important in limiting the spread of new plants, and the effects on established thalli, while possibly considerable in some instances, appear to vary greatly with the species of algae.","periwinkle, littorina",hms_rv691xc8838.tei.xml
28,Stanford University,Hopkins Marine Station,tj765wc4412,"Eckert, Dieter",Phototaxis and Photkinesis in Littorina planaxis,1964.0,"Littorina planxis crawling on glass plates in the sunlight orient themselves primarily along the sun's rays. A response to the plane of polarization of the sunlight is the probably mechanism involved. L. planaxis behaves photo kinetically, increasing both its rate of turning and tis rate of forward crawling at higher light intensities. The littorine eye, as tested by the tentacle jerk response, is sensitive on the light in the middle of the visible spectrum. Snails found on dry rocks were always photonegative. In either case, the response is strengthened by 24 hours of constant light or darkness.","periwinkle, littorina",hms_tj765wc4412.tei.xml
29,Stanford University,Hopkins Marine Station,cy348kc3163,"Farnum, Corneila",Carbohydrases in two species of littorines,1964.0,"1. Enzyme extract of the esophagus and midgut of Littorina planaxis and Littorina scutulata were found to contain amylases capable of splitting starch and glycogen. Only one strain of bacteria isolated from these organs could digest starch. 3. Alpha glucosidase activity was detected on maltose and sucrose. The alpha 1,3 glucose galactose linkage in turnaose was split by the esophagus of both species. 3. Esophagus extracts showed galactosidase activity on agar and melibiose. 4. No cellulose digesting bacteria were detected. However, cellulase activity was found in the midgut extracts and cellobiase activity in both tissues of both species.","periwinkle, littorina",hms_cy348kc3163.tei.xml
30,Stanford University,Hopkins Marine Station,hx187cf0379,"Foster, Michael S",Microscopic algal food of Littorina planaxis and Littorina scutulata,1964.0,"1. The following algae were identified in the habitat of Littorina planaxis and L. scutulata (* denotes positive identification as food): Chlorophyta - (*)Spongomorpha coalita, (*)Entocladia testarums (on shells), (*) Unicellular greens; Cyanophyta - (*)Plectonema terebrans, (*)Calothrix pilosa, (*) Calothrix crustacea, Dermocarpa sp., Spirulina sp., (*)Unicellular blue-greens; Rhodophyta - (*)Rhodochorton rothii; (*)Diatoms. 2. The standing crop of the microscopic algae on granite surfaces is 37gs carbon/m^2 with a production rate of 1.66 gs carbon/m^2/day. Production rate for the algae on the shells of L. planaxis is .981 gs carbon/m^2/day. The pigment content of the algae on the shells is much greater than that of a rock or Ulva surface of similar size. 3. In 25 days, ten snails reduce the algae pigment content of a 225 cm^2 granite surface by approximately 8% when compared with an ungrazed surface of similar size.","periwinkle, littorina",hms_hx187cf0379.tei.xml
31,Stanford University,Hopkins Marine Station,rg367wp2677,"Gibson, Daniel G. III",Mating behavior in Littorina planaxis,1964.0,"The habitat of the grey periwinkle, Littorina planaxis Philippi (1847), well above high water on rocky western North American shores, exposes this snail to desiccating sun and wind and high temperatures to a greater degree than most other intertidal organisms (Ricketts and Calvin, 1952). This degree of exposure presents several problems to the process of reproduction. Fertilization is internal, which requires that males must have some means of locating females, recognizing them as such, and mating with them. This paper will attempt to explore the mating behavior of Littorina planaxis and explain its method of locating other individuals, differences in the behavior of males and females, and the anatomy and mechanics of copulation.","periwinkle, littorina",hms_rg367wp2677.tei.xml
32,Stanford University,Hopkins Marine Station,yt909bg9089,"Imai, Kent",Some aspects of spawning behavior and development in Littorina planaxis and LIttorina scutulata,1964.0,"Heretofore, observations on the spawning and development of the internally fertilizing intertidal snails, L. planaxis and L. scutulata have been limited to studies conducted by Hewatt(1938) and by Glynn (1963). Recent observations at Hopkins Marine Station on the central California coast further elucidate the reproductive biology of these littorines. These studies, conducted in the laboratory and in the field in the period April 21 to May 29, 1964, shed some light on spawning behavior and suggest relationships between development and ecological conditions pertaining to these two species.","periwinkle, littorina",hms_yt909bg9089.tei.xml
33,Stanford University,Hopkins Marine Station,wd766yq1443,"Klabunde, Paul Jon","The glycogen content and preliminary studies of glycogen synthesis in tissues of Pagurus samuelis (Stimpson, 1862) (Arthropoda: Malacostraca)",1964.0,"1. The glycogen levels for the hepatopancreas and abdominal muscle of Pagurus samuelis are between 0.32% and 6.7% and between 0.064% and 0.58% of dry weight, respectively. 2. During starvation the mean percent glycogen by dry weight decreases from 2.4% to 1.3% in the hepatopancreas and increases from 0.2% to 1.2% in the abdominal muscle. 3. The presence of UDPG epimerase or similar mechanism for the conversion of D-galactose into D-glucose is suggested.","hermit crab, Pagurus",hms_wd766yq1443.tei.xml
34,Stanford University,Hopkins Marine Station,rn624sw6560,"Kops, Elsa",The effect of DDT on spine regeneration in sea urchins as measured by the uptake of Calcium-45,1964.0,"Sea urchins (Strongylocentrotus purpuratus and S. franciscanus) in the vicinity of the Los Angeles County sewer at White's Point have abnormal spination (stunted and missing primary spines). There are very high DDT residue levels (mainly DDE) in the tissues of these animals compared with normal appearing animals found at Pigeon Point, San Mateo County. Calcification rates in regenerating spines of S. purpuratus from White's Point were one-half the rates of regenerating spines of S. purpuratus from Pigeon Point. DDT in concentrations above 1 ug/ml appears to suppress calcification in regenerating spines of S purpuratus from White's Point exposed to DDT concentrations up to 10 ug/ml. Accumulated pesticide residues contained in the spines of the White's Point urchins apparently suppresses calcification and may be a major cause of their stunted, abnormal appearing spination.",marine pollution,hms_rn624sw6560.tei.xml
35,Stanford University,Hopkins Marine Station,ty680gz3905,"Lebenzon, Joe",Respiration in Littorina planaxis and L. scutulata,1964.0,"The populations of the two species of prosobranch mollusc Littorina common to the central California coast, Littorina planaxis (Phillippi, 1879) and LIttorina scutulata (Gould, 1849), overlap in the intertidal zone; however, the species L. planaxis is usually found inhabiting the higher regions of the intertidal while L. scutulata generally inhabits the lower. Their very distribution suggests a possible difference in respiratory rate between the two species and between individual of the same species.","periwinkle, littorina",
36,Stanford University,Hopkins Marine Station,br379fc2115,"Miyamato, Alan",Clustering in Littorina planaxis,1964.0,"High density groups of Littorina planaxis found in cracks, concavities and around protruding quartz crystals were found to be of fluctuating numbers and constantly changing membership. Persistence of clusters in cracks was found to be greater than in the slighter irregularities, largely due to their greater size. No relation could be found between cluster sizes and any environmental variable, but the percentage of population clustered was found to be inversely proportional to the wetness of the rock. Increases in percentage clustered was most noted at dawn, and the maximum percentage clustered was recorded during the daylight hours on dry rock. Snails were found to be trapped by shade on drying rock, but they ignore the difference in light intensity when the rock is wet. Mucus trails are hypothesized to be a means of directing snail traffic to the cluster-prone areas. Application of heat was found to increase percent-age of snails clustered. Possible adaptive advantages: better chance of surviving desiccation, mechanical protection from waves.","periwinkle, littorina",hms_br379fc2115.tei.xml
37,Stanford University,Hopkins Marine Station,bv172tc9618,Moulton,"The pattern change of acclimation to novel grained substrates of the speckled sanddab, Citharichthys stigmaeus",1964.0,"I studied the pattern changing abilities of the Speckled Sanddab by acclimating sandy patterned fish to a rocky substrate and rocky patterned fish to a sandy substrate. Both rocky and sandy fish demonstrated the ability to alter their pattern to match a novel substrate. After 8 days of acclimation, rocky fish matched sand better than sandy fish matched rock. Whether this was the result of all fish becoming sandier after removal from the field is not certain. There may be a cost to maintaining a rocky morphology. If so, it would be more difficult for a sandy fish to gain a rocky morphology than it would for a rocky fish to gain a sandy morphology. Sandy fish showed a greater fidelity to their original substrate than rocky fish, indicating that a lower ability to effectively match another substrate limits the freedom a fish displays in choosing a new substrate.",nearshore fishes,hms_bv172tc9618.tei.xml
38,Stanford University,Hopkins Marine Station,bt933jx4380,"Neale, J.R.",Exploratory experiments on the rheotactic responses of Littorina planaxis,1964.0,Questions to be handled in Paper: 1. Establishment of a basici positive rheotaxis in L. planaxis. 2. Effects of starvation on the taxis. 3. Possible sex difference in activity and its reversal during spring.,"periwinkle, littorina",hms_bt933jx4380.tei.xml
39,Stanford University,Hopkins Marine Station,nn511pc8323,"Pederson, Roger A.",Proteolytic enzymes of the digestive gland of the prosobranch mollusc Littorina planaxis,1964.0,"This paper describes an in vitro analysis and partial characterization of the proteolytic enzymes of the digestive gland of Littorina planaxis, a prosobranch mollusc. The few studies which have been conducted on the digestive enzymes of marine gastropods have revealed no proteinases in the salivary glands of the herbivorous prosobranchs (Freter and Graham, 1962). These organs appear to function principally in secreting mucus, which facilitates the passage of ingested food from the buccal cavity to the stomach. There is also unanimity in the conclusion that no digestive enzymes are secreted, or any food absorbed, in the intestine (Freter and Graham, 1962). The present studies have been confined to the digestive gland, although the esophagus also merits study.","periwinkle, littorina",hms_nn511pc8323.tei.xml
40,Stanford University,Hopkins Marine Station,pt392fj6218,"Peters, Ronald L.",Function of the cephalic tentacles in Littorina planaxis,1964.0,"1. The cephalic tentacles, of Littorina planaxis, are not critical to general movement, but are used, while the snail moves, for tactile surveillance, and they enable the animal to perform more easily such maneuvers as righting. 2. Removal of the tentacles does not impair the ability to detect diffusible substances from the predacious snail A. spirata or from female L. planaxis. 3. The tentacles appear necessary for sex recognition on contact. 4. The tentacles are employed in following mucus trails on the substrate. The trails of other L. planaxis are followed more consistently than are trails laid down by other species of molluscs.","periwinkle, littorina",hms_pt392fj6218.tei.xml
41,Stanford University,Hopkins Marine Station,gh227vp3933,"Peterson, Russell E.",The mechanism of attachment of the verrucae of Anthopleura elegantissima and the relation between gravel availability and the amount of gravel cover anemones acquire,1964.0,"The present investigation was conducted to determine how the anemones attract gravel to the themselves, and to ascertain the relation between the availability of gravel and the amount of gravel actually attached to anemones.",sea anemones,hms_gh227vp3933.tei.xml
